#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_000964.3",23146,23769,"-",937037,"dgk","BSU_00150","NP_387896.1",207,"deoxyguanosine kinase"
"chromosome","NC_000964.3",23868,25151,"-",937029,"sleL","BSU_00160","NP_387897.1",427,"spore peptidoglycan N-acetylglucosaminidase"
"chromosome","NC_000964.3",25221,25766,"-",937036,"yaaI","BSU_00170","NP_387898.1",181,"putative amidase (isochorismatase family)"
"chromosome","NC_000964.3",25852,26337,"-",937989,"tadA","BSU_00180","NP_387899.1",161,"tRNA specific adenosine A34 deaminase"
"chromosome","NC_000964.3",26814,28505,"-",936899,"dnaX","BSU_00190","NP_387900.2",563,"DNA polymerase III subunit tau subunit"
"chromosome","NC_000964.3",28529,28852,"-",937027,"ebfC","BSU_00200","NP_387901.1",107,"nucleoid associated protein"
"chromosome","NC_000964.3",28867,29463,"-",937197,"recR","BSU_00210","NP_387902.1",198,"recA filament-DNA complex stabilisation factor"
"chromosome","NC_000964.3",29481,29705,"-",937026,"yaaL","BSU_00220","NP_387903.1",74,"conserved protein of unknown function"
"chromosome","NC_000964.3",29772,30035,"-",937025,"bofA","BSU_00230","NP_387904.2",87,"inhibitor of the pro-sigma(K) processing machinery"
"chromosome","NC_000964.3",35531,35725,"-",937016,"csfB","BSU_00240","NP_387905.1",64,"forespore-specific anti-sigma factor"
"chromosome","NC_000964.3",35845,36459,"-",937019,"xpaC","BSU_00250","NP_387906.1",204,"putative phosphatase"
"chromosome","NC_000964.3",36478,37638,"-",936551,"yaaN","BSU_00260","NP_387907.1",386,"putative toxic compound resistance protein"
"chromosome","NC_000964.3",37720,39162,"-",937013,"yaaO","BSU_00270","NP_387908.1",480,"putative decarboxylase"
"chromosome","NC_000964.3",39159,39797,"-",937018,"tmk","BSU_00280","NP_387909.2",212,"thymidylate kinase"
"chromosome","NC_000964.3",39871,40200,"-",938610,"darA","BSU_00290","NP_387910.1",109,"signal transduction receptor, cyclic di-AMP binding"
"chromosome","NC_000964.3",40213,40653,"-",936756,"yaaR","BSU_00300","NP_387911.1",146,"conserved hypothetical protein"
"chromosome","NC_000964.3",40665,41654,"-",935949,"holB","BSU_00310","NP_387912.1",329,"DNA polymerase III clamp loader delta\\' subunit"
"chromosome","NC_000964.3",41657,42484,"-",937012,"ricT","BSU_00320","NP_387913.1",275,"subunit of a sporulation, competence and biofilm formation regulatory complex of RNaseY (RicAFT complex / FAD / two"
"chromosome","NC_000964.3",42499,42858,"-",937008,"dnaH","BSU_00330","NP_387914.1",119,"subunit of the DNA replication complex"
"chromosome","NC_000964.3",42917,43660,"-",937011,"trmNF","BSU_00340","NP_387915.1",247,"tRNA1(Val) (adenine(37)-N6)-methyltransferase"
"chromosome","NC_000964.3",43647,43946,"-",937002,"yazA","BSU_00350","NP_387916.1",99,"putative UvrC-Intron-type (URI) endonuclease"
"chromosome","NC_000964.3",43921,44799,"-",937010,"rsmI","BSU_00360","NP_387917.1",292,"16S rRNA 2\\'-O-ribose C1402 methyltransferase"
"chromosome","NC_000964.3",44848,45138,"-",937009,"abrB","BSU_00370","NP_387918.1",96,"transcriptional regulator for transition state genes (AbrB-SurF)"
"chromosome","NC_000964.3",45633,47627,"-",936877,"metS","BSU_00380","NP_387919.1",664,"methionyl-tRNA synthetase"
"chromosome","NC_000964.3",47706,48473,"-",936949,"dayD","BSU_00390","NP_387920.1",255,"D-amino acyl-tRNA deacylase"
"chromosome","NC_000964.3",48629,49942,"-",936891,"yabE","BSU_00400","NP_387921.1",437,"putative cell wall shaping enzyme"
"chromosome","NC_000964.3",50087,50647,"-",937001,"rnmV","BSU_00410","NP_387922.1",186,"ribonuclease M5"
"chromosome","NC_000964.3",50640,51518,"-",936358,"rsmA","BSU_00420","NP_387923.1",292,"dimethyladenosine 16S ribosomal RNA transferase"
"chromosome","NC_000964.3",51680,52552,"-",937005,"prtG","BSU_00430","NP_387924.1",290,"sporulation-specific protease"
"chromosome","NC_000964.3",52763,53023,"-",936744,"veg","BSU_00440","NP_387925.1",86,"conserved hypothetical protein"
"chromosome","NC_000964.3",53183,53368,"-",936996,"sspF","BSU_00450","NP_387926.1",61,"small acid-soluble spore protein (alpha/beta-type SASP)"
"chromosome","NC_000964.3",53516,54385,"-",936970,"ispE","BSU_00460","NP_387927.1",289,"4-(cytidine 5\\'-diphospho)-2-C-methyl-D-erythritol kinase"
"chromosome","NC_000964.3",54441,55298,"-",937000,"purR","BSU_00470","NP_387928.1",285,"transcriptional regulator of the purine biosynthesis operon (PurR-pRpp)"
"chromosome","NC_000964.3",55295,55672,"-",936988,"ridA","BSU_00480","NP_387929.1",125,"aminoacrylate/iminopropionate hydrolase/deaminase"
"chromosome","NC_000964.3",55866,56159,"-",936959,"spoVG","BSU_00490","NP_387930.1",97,"regulator required for spore cortex synthesis (stage V sporulation)"
"chromosome","NC_000964.3",56352,57722,"-",936139,"glmU","BSU_00500","NP_387931.1",456,"bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase"
"chromosome","NC_000964.3",57745,58698,"-",936985,"prs","BSU_00510","NP_387932.1",317,"phosphoribosylpyrophosphate synthetase"
"chromosome","NC_000964.3",58783,59397,"-",936984,"ctc","BSU_00520","NP_387933.1",204,"ribosomal protein BL25 (Ctc), binding 5S RNA"
"chromosome","NC_000964.3",59504,60070,"-",936740,"pth","BSU_00530","NP_387934.1",188,"peptidyl-tRNA hydrolase"
"chromosome","NC_000964.3",60130,60360,"-",936978,"fin","BSU_00540","NP_387935.1",76,"protein required for the switch from F to G during sporulation (anti sigma F)"
"chromosome","NC_000964.3",60430,63963,"-",936653,"mfd","BSU_00550","NP_387936.1",1177,"transcription-repair coupling factor"
"chromosome","NC_000964.3",64099,64635,"-",936975,"spoVT","BSU_00560","NP_387937.1",178,"transcriptional regulator of sporulation / germination"
"chromosome","NC_000964.3",64817,66415,"-",936539,"yabM","BSU_00570","NP_387938.1",532,"putative exporter"
"chromosome","NC_000964.3",66405,67874,"-",936973,"yabN","BSU_00580","NP_387939.1",489,"putative fusion methylase and nucleotide pyrophosphohydrolase"
"chromosome","NC_000964.3",67877,68137,"-",936800,"hslR","BSU_00590","NP_387940.1",86,"ribosomal RNA binding protein involved in 50S recycling; heat shock protein"
"chromosome","NC_000964.3",68216,68518,"-",936966,"spcP","BSU_00600","NP_387941.1",100,"spore protein involved in the shaping of the spore coat"
"chromosome","NC_000964.3",68515,69150,"-",936971,"spcQ","BSU_00610","NP_387942.1",211,"membrane protein of the forespore"
"chromosome","NC_000964.3",69168,69545,"-",936786,"divIC","BSU_00620","NP_387943.1",125,"cell-division initiation protein"
"chromosome","NC_000964.3",69626,70012,"-",936574,"yabR","BSU_00630","NP_387944.1",128,"putative RNA degradation protein; polyribonucleotide nucleotidyltransferase or phosphorylase"
"chromosome","NC_000964.3",70538,73021,"-",938480,"spoIIE","BSU_00640","NP_387945.1",827,"SpoIIAA-phosphate serine phosphatase"
"chromosome","NC_000964.3",73106,73843,"-",936965,"yabS","BSU_00650","NP_387946.1",245,"conserved protein of unknown function"
"chromosome","NC_000964.3",73809,74825,"-",936964,"prkT","BSU_00660","NP_387947.2",338,"serine/threonine-protein kinase"
"chromosome","NC_000964.3",74929,76347,"-",936922,"tilS","BSU_00670","NP_387948.1",472,"tRNA(ile2) lysidine synthetase"
"chromosome","NC_000964.3",76344,76886,"-",936945,"hprT","BSU_00680","NP_387949.1",180,"hypoxanthine-guanine phosphoribosyltransferase"
"chromosome","NC_000964.3",76984,78897,"-",938094,"ftsH","BSU_00690","NP_387950.1",637,"ATP-dependent cytoplasmic membrane protease"
"chromosome","NC_000964.3",79092,79868,"-",936960,"coaX","BSU_00700","NP_387951.2",258,"pantothenate kinase type III"
"chromosome","NC_000964.3",79880,80755,"-",936762,"hslO","BSU_00710","NP_387952.1",291,"disulfide bond chaperone (heat shock protein HSP33)"
"chromosome","NC_000964.3",80802,81695,"-",936955,"yacD","BSU_00720","NP_387953.1",297,"putative protein chaperone accessory lipoprotein factor"
"chromosome","NC_000964.3",81771,82697,"-",936636,"cysK","BSU_00730","NP_387954.1",308,"cysteine synthase"
"chromosome","NC_000964.3",82864,84276,"-",936926,"pabB","BSU_00740","NP_387955.1",470,"4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase)"
"chromosome","NC_000964.3",84290,84874,"-",936441,"pabA","BSU_00750","NP_387956.1",194,"4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)"
"chromosome","NC_000964.3",84874,85755,"-",936944,"pabC","BSU_00760","NP_387957.1",293,"4-amino-4-deoxychorismate pyruvate-lyase"
"chromosome","NC_000964.3",85737,86594,"-",936256,"folP","BSU_00770","NP_387958.1",285,"dihydropteroate synthase"
"chromosome","NC_000964.3",86587,86949,"-",937976,"folB","BSU_00780","NP_387959.1",120,"dihydroneopterin aldolase"
"chromosome","NC_000964.3",86946,87449,"-",936940,"folK","BSU_00790","NP_387960.1",167,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase"
"chromosome","NC_000964.3",87401,87610,"-",936295,"yazB","BSU_00800","NP_387961.1",69,"putative transcriptional regulator"
"chromosome","NC_000964.3",87634,88635,"-",936924,"dusB","BSU_00810","NP_387962.1",333,"tRNA-dihydrouridine synthase B"
"chromosome","NC_000964.3",88727,90226,"-",936911,"lysS","BSU_00820","NP_387963.1",499,"lysyl-tRNA synthetase"
"chromosome","NC_000964.3",101449,101913,"-",936883,"ctsR","BSU_00830","NP_387964.1",154,"transcriptional regulator of class III stress genes"
"chromosome","NC_000964.3",101927,102484,"-",936845,"mcsA","BSU_00840","NP_387965.1",185,"activator of protein kinase McsB"
"chromosome","NC_000964.3",102484,103575,"-",936939,"mcsB","BSU_00850","NP_387966.1",363,"protein arginine kinase"
"chromosome","NC_000964.3",103572,106004,"-",938481,"clpC","BSU_00860","NP_387967.1",810,"class III stress response-related ATPase, AAA+ superfamily"
"chromosome","NC_000964.3",106096,107472,"-",936872,"radA","BSU_00870","NP_387968.1",458,"DNA repair protein; 6-O-methylguanine-DNA methyltransferase"
"chromosome","NC_000964.3",107476,108558,"-",936868,"disA","BSU_00880","NP_387969.1",360,"diadenylate cyclase; DNA integrity scanning protein; cell cycle checkpoint DNA scanning protein"
"chromosome","NC_000964.3",108674,109774,"-",936863,"yacL","BSU_00890","NP_387970.1",366,"putative membrane protein possibly involved in RNA binding"
"chromosome","NC_000964.3",109789,110487,"-",936855,"ispD","BSU_00900","NP_387971.1",232,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway"
"chromosome","NC_000964.3",110480,110956,"-",936634,"ispF","BSU_00910","NP_387972.1",158,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase"
"chromosome","NC_000964.3",111047,112498,"-",936862,"gltX","BSU_00920","NP_387973.1",483,"glutamyl-tRNA synthetase"
"chromosome","NC_000964.3",112800,113453,"-",936831,"cysE","BSU_00930","NP_387974.1",217,"serine O-acetyltransferase"
"chromosome","NC_000964.3",113450,114850,"-",936859,"cysS","BSU_00940","NP_387975.1",466,"dual cysteinyl-tRNA synthetase; cysteine persulfide synthase"
"chromosome","NC_000964.3",114854,115285,"-",936369,"mrnC","BSU_00950","NP_387976.1",143,"ribonuclease for 23S RNA maturation, mini-RNase III"
"chromosome","NC_000964.3",115269,116018,"-",936861,"rlmB","BSU_00960","NP_387977.1",249,"23S rRNA (Gm2251)-methyltransferase"
"chromosome","NC_000964.3",116025,116537,"-",936993,"raeA","BSU_00970","NP_387978.1",170,"ribosome-dependent mRNA endonuclease"
"chromosome","NC_000964.3",116600,117256,"-",936150,"sigH","BSU_00980","NP_387979.1",218,"RNA polymerase sigma-30 factor (sigma(H))"
"chromosome","NC_000964.3",117349,117498,"-",936842,"rpmGB","BSU_00990","NP_387980.1",49,"ribosomal protein L33"
"chromosome","NC_000964.3",117532,117711,"-",936856,"secE","BSU_01000","NP_387981.1",59,"preprotein translocase subunit"
"chromosome","NC_000964.3",117890,118423,"-",936851,"nusG","BSU_01010","NP_387982.1",177,"RNA polymerase elongation pause factor"
"chromosome","NC_000964.3",118591,119016,"-",936838,"rplK","BSU_01020","NP_387983.2",141,"ribosomal protein L11 (BL11)"
"chromosome","NC_000964.3",119111,119809,"-",936843,"rplA","BSU_01030","NP_387984.2",232,"ribosomal protein L1 (BL1)"
"chromosome","NC_000964.3",120061,120561,"-",936153,"rplJ","BSU_01040","NP_387985.2",166,"ribosomal protein L10 (BL5)"
"chromosome","NC_000964.3",120607,120978,"-",935952,"rplL","BSU_01050","NP_387986.1",123,"ribosomal protein L12 (BL9)"
"chromosome","NC_000964.3",121068,121673,"-",938465,"rlmG","BSU_01060","NP_387987.1",201,"23S rRNA m2G1835 methyltransferase"
"chromosome","NC_000964.3",121919,125500,"-",936335,"rpoB","BSU_01070","NP_387988.2",1193,"RNA polymerase (beta subunit)"
"chromosome","NC_000964.3",125562,129161,"-",935977,"rpoC","BSU_01080","NP_387989.2",1199,"RNA polymerase (beta\\' subunit)"
"chromosome","NC_000964.3",129340,129588,"-",936829,"rulS","BSU_01090","NP_387990.1",82,"K-turn RNA binding protein; alternative ribosomal protein L7A"
"chromosome","NC_000964.3",129702,130118,"-",936616,"rpsL","BSU_01100","NP_387991.2",138,"ribosomal protein S12 (BS12)"
"chromosome","NC_000964.3",130160,130630,"-",935997,"rpsG","BSU_01110","NP_387992.2",156,"ribosomal protein S7 (BS7)"
"chromosome","NC_000964.3",130684,132762,"-",936826,"fusA","BSU_01120","NP_387993.2",692,"elongation factor G"
"chromosome","NC_000964.3",132882,134072,"-",935965,"tufA","BSU_01130","NP_387994.1",396,"elongation factor Tu"
"chromosome","NC_000964.3",134171,135127,"-",936866,"ybaC","BSU_01140","NP_387995.2",318,"putative proline iminopeptidase"
"chromosome","NC_000964.3",135364,135672,"-",936825,"rpsJ","BSU_01150","NP_387996.1",102,"ribosomal protein S10 (BS13); transcription antitermination factor"
"chromosome","NC_000964.3",135712,136341,"-",936239,"rplC","BSU_01160","NP_387997.1",209,"ribosomal protein L3 (BL3)"
"chromosome","NC_000964.3",136369,136992,"-",936690,"rplD","BSU_01170","NP_387998.1",207,"ribosomal protein L4"
"chromosome","NC_000964.3",136992,137279,"-",936820,"rplW","BSU_01180","NP_387999.2",95,"ribosomal protein L23"
"chromosome","NC_000964.3",137311,138144,"-",936817,"rplB","BSU_01190","NP_388000.2",277,"ribosomal protein L2 (BL2)"
"chromosome","NC_000964.3",138202,138480,"-",936818,"rpsS","BSU_01200","NP_388001.1",92,"ribosomal protein S19 (BS19)"
"chromosome","NC_000964.3",138497,138838,"-",938123,"rplV","BSU_01210","NP_388002.1",113,"ribosomal protein L22 (BL17)"
"chromosome","NC_000964.3",138842,139498,"-",936808,"rpsC","BSU_01220","NP_388003.2",218,"ribosomal protein S3 (BS3)"
"chromosome","NC_000964.3",139500,139934,"-",936807,"rplP","BSU_01230","NP_388004.1",144,"ribosomal protein L16"
"chromosome","NC_000964.3",139924,140124,"-",936801,"rpmC","BSU_01240","NP_388005.1",66,"ribosomal protein L29"
"chromosome","NC_000964.3",140147,140410,"-",936805,"rpsQ","BSU_01250","NP_388006.1",87,"ribosomal protein S17 (BS16)"
"chromosome","NC_000964.3",140451,140819,"-",935939,"rplNA","BSU_01260","NP_388007.1",122,"ribosomal protein L14"
"chromosome","NC_000964.3",140857,141168,"-",936799,"rplX","BSU_01270","NP_388008.1",103,"ribosomal protein L24 (BL23)"
"chromosome","NC_000964.3",141195,141734,"-",936981,"rplE","BSU_01280","NP_388009.1",179,"ribosomal protein L5 (BL6)"
"chromosome","NC_000964.3",141757,141942,"-",935946,"rpsNA","BSU_01290","NP_388010.1",61,"ribosomal protein S14"
"chromosome","NC_000964.3",141974,142372,"-",936328,"rpsH","BSU_01300","NP_388011.2",132,"ribosomal protein S8 (BS8)"
"chromosome","NC_000964.3",142402,142941,"-",938229,"rplF","BSU_01310","NP_388012.1",179,"ribosomal protein L6 (BL8)"
"chromosome","NC_000964.3",142974,143336,"-",936785,"rplR","BSU_01320","NP_388013.2",120,"ribosomal protein L18"
"chromosome","NC_000964.3",143361,143861,"-",938012,"rpsE","BSU_01330","NP_388014.1",166,"ribosomal protein S5"
"chromosome","NC_000964.3",143875,144054,"-",936920,"rpmD","BSU_01340","NP_388015.1",59,"ribosomal protein L30 (BL27)"
"chromosome","NC_000964.3",144085,144525,"-",935940,"rplO","BSU_01350","NP_388016.1",146,"ribosomal protein L15"
"chromosome","NC_000964.3",144527,145822,"-",936779,"secY","BSU_01360","NP_388017.1",431,"preprotein translocase subunit"
"chromosome","NC_000964.3",145877,146530,"-",938508,"adk","BSU_01370","NP_388018.1",217,"adenylate kinase"
"chromosome","NC_000964.3",146527,147273,"-",938929,"mapA","BSU_01380","NP_388019.1",248,"methionine aminopeptidase"
"chromosome","NC_000964.3",147312,147536,"-",8303095,"ybzG","BSU_01389","YP_003097669.1",74,"putative ribosome binding protein"
"chromosome","NC_000964.3",147585,147803,"-",938924,"infA","BSU_01390","NP_388020.1",72,"initiation factor IF-I"
"chromosome","NC_000964.3",147837,147950,"-",938927,"rpmJ","BSU_01400","NP_388021.1",37,"ribosomal protein L36 (ribosomal protein B)"
"chromosome","NC_000964.3",147973,148338,"-",938928,"rpsM","BSU_01410","NP_388022.2",121,"ribosomal protein S13"
"chromosome","NC_000964.3",148359,148754,"-",938926,"rpsK","BSU_01420","NP_388023.1",131,"ribosomal protein S11 (BS11)"
"chromosome","NC_000964.3",148931,149875,"-",938921,"rpoA","BSU_01430","NP_388024.1",314,"RNA polymerase (alpha subunit)"
"chromosome","NC_000964.3",149953,150315,"-",938918,"rplQ","BSU_01440","NP_388025.1",120,"ribosomal protein L17 (BL15)"
"chromosome","NC_000964.3",150443,151288,"-",938925,"ecfA","BSU_01450","NP_388026.2",281,"energizing coupling factor of ABC influx transporter (ATP-binding protein)"
"chromosome","NC_000964.3",151303,152133,"-",938922,"ecfAB","BSU_01460","NP_388027.1",276,"energizing coupling factor of ABC influx transporter (ATP-binding protein)"
"chromosome","NC_000964.3",152130,152927,"-",938923,"ecfT","BSU_01470","NP_388028.2",265,"component of the influx ECF transporters"
"chromosome","NC_000964.3",152937,153680,"-",938920,"truA","BSU_01480","NP_388029.2",247,"tRNA pseudouridine (38-40) synthase"
"chromosome","NC_000964.3",153842,154279,"-",938915,"rplM","BSU_01490","NP_388030.2",145,"ribosomal protein L13"
"chromosome","NC_000964.3",154300,154692,"-",938912,"rpsI","BSU_01500","NP_388031.1",130,"ribosomal protein S9"
"chromosome","NC_000964.3",155156,155923,"-",938919,"ybaJ","BSU_01510","NP_388032.2",255,"putative methyltransferase"
"chromosome","NC_000964.3",156109,156552,"-",938916,"ybaK","BSU_01520","NP_388033.1",147,"conserved protein of unknown function"
"chromosome","NC_000964.3",156612,157325,"-",938917,"cwlD","BSU_01530","NP_388034.1",237,"N-acetylmuramoyl-L-alanine amidase"
"chromosome","NC_000964.3",157421,158479,"-",938914,"salA","BSU_01540","NP_388035.1",352,"phosphorylation-dependent (Y327) transcriptional regulator"
"chromosome","NC_000964.3",158515,159072,"-",938910,"gerD","BSU_01550","NP_388036.1",185,"lipoprotein factor mediating clustering of germination proteins"
"chromosome","NC_000964.3",159182,159778,"-",938913,"kbaA","BSU_01560","NP_388037.1",198,"inner membrane protein involved in activation of the KinB signaling pathway to sporulation"
"chromosome","NC_000964.3",159779,160543,"-",938911,"pdaB","BSU_01570","NP_388038.1",254,"polysaccharide deacetylase involved in sporulation"
"chromosome","NC_000964.3",177083,178519,"-",938890,"ybaR","BSU_01580","NP_388039.1",478,"putative permease"
"chromosome","NC_000964.3",178665,179585,"-",938892,"ybaS","BSU_01590","NP_388040.2",306,"putative sodium dependent transporter"
"chromosome","NC_000964.3",179595,180347,"-",938887,"eesA","BSU_01600","NP_388041.2",250,"iron-chelator (enterobactin family) esterase"
"chromosome","NC_000964.3",180344,181354,"-",938893,"feuC","BSU_01610","NP_388042.2",336,"iron-uptake protein"
"chromosome","NC_000964.3",181347,182351,"-",938884,"feuB","BSU_01620","NP_388043.1",334,"ferri-bacillibactin permease"
"chromosome","NC_000964.3",182370,183323,"-",938891,"feuA","BSU_01630","NP_388044.1",317,"ferri-bacillibactin-binding lipoprotein"
"chromosome","NC_000964.3",183414,185003,"-",938888,"btr","BSU_01640","NP_388045.1",529,"transcriptional activator (AraC/XylS family) of synthesis and uptake of the siderophore bacillibactin"
"chromosome","NC_000964.3",185194,186438,"-",938889,"ybbC","BSU_01650","NP_388046.1",414,"conserved protein of unknown function"
"chromosome","NC_000964.3",186452,188380,"-",938881,"nagZ","BSU_01660","NP_388047.1",642,"N-acetylglucosaminidase lipoprotein"
"chromosome","NC_000964.3",188408,189733,"-",938886,"amiE","BSU_01670","NP_388048.2",441,"amidase hydrolyzing N-acetylmuramyl-L-Ala bond of MurNAc peptides"
"chromosome","NC_000964.3",189790,191157,"-",938879,"murP","BSU_01680","NP_388049.3",455,"N-acetylmuramic acid PTS permease-MurP subunit"
"chromosome","NC_000964.3",191183,192034,"-",938885,"murR","BSU_01690","NP_388050.1",283,"transcriptional regulator MurR-N-acetylmuramic acid"
"chromosome","NC_000964.3",192051,192965,"-",938882,"murQ","BSU_01700","NP_388051.1",304,"D-lactyl ether N-acetylmuramic-6-phosphate acid etherase"
"chromosome","NC_000964.3",193075,193557,"-",938883,"ybbJ","BSU_01710","NP_388052.2",160,"putative acyltransferase"
"chromosome","NC_000964.3",193570,194025,"-",938877,"ybbK","BSU_01720","NP_388053.2",151,"conserved protein of unknown function"
"chromosome","NC_000964.3",194849,195412,"-",938868,"sigW","BSU_01730","NP_388054.1",187,"RNA polymerase ECF(extracytoplasmic function)-type sigma factor W"
"chromosome","NC_000964.3",195426,196052,"-",938876,"rsiW","BSU_01740","NP_388055.1",208,"anti-sigma(W) factor"
"chromosome","NC_000964.3",196213,197034,"-",938735,"cdaA","BSU_01750","NP_388056.2",273,"diadenylate cyclase"
"chromosome","NC_000964.3",197027,198478,"-",938867,"cdaR","BSU_01760","NP_388057.2",483,"regulator of diadenylate cyclase activity"
"chromosome","NC_000964.3",198497,199843,"-",938632,"glmM","BSU_01770","NP_388058.1",448,"phosphoglucosamine mutase"
"chromosome","NC_000964.3",200277,202079,"-",938736,"glmS","BSU_01780","NP_388059.1",600,"L-glutamine-D-fructose-6-phosphate amidotransferase"
"chromosome","NC_000964.3",202126,202266,"-",37862790,"ybbU","BSU_01790","YP_009513939.1",46,"hypothetical protein BSU_01790"
"chromosome","NC_000964.3",202547,203458,"-",938586,"alkA","BSU_01800","NP_388061.1",303,"DNA-3-methyladenine glycosylase; prophage 1 region"
"chromosome","NC_000964.3",203729,204364,"-",938648,"adaA","BSU_01810","NP_388062.1",211,"methylphosphotriester-DNA alkyltransferase and transcriptional regulator (AraC/XylS family)"
"chromosome","NC_000964.3",204351,204890,"-",938673,"adaB","BSU_01820","NP_388063.1",179,"O6-methylguanine-DNA methyltransferase; prophage 1 region"
"chromosome","NC_000964.3",205409,206926,"-",938593,"ndhF","BSU_01830","NP_388064.1",505,"putative NADH dehydrogenase; prophage 1 region"
"chromosome","NC_000964.3",206941,209556,"-",938603,"ybcC","BSU_01845","NP_388065.2",871,"conserved transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog; prophage 1 region"
"chromosome","NC_000964.3",209633,210160,"-",938524,"ybcF","BSU_01860","NP_388067.1",175,"putative enzyme; prophage 1 region"
"chromosome","NC_000964.3",210224,210514,"-",938573,"ybcH","BSU_01870","NP_388068.1",96,"conserved protein of unknown function; prophage 1 region"
"chromosome","NC_000964.3",210572,210946,"-",938568,"ybcI","BSU_01880","NP_388069.1",124,"conserved hypothetical protein; prophage 1 region"
"chromosome","NC_000964.3",211429,211731,"-",8302965,"ybzH","BSU_01889","YP_003097670.1",100,"putative transcriptional regulator (ArsR family); prophage 1 region"
"chromosome","NC_000964.3",211859,213031,"-",938536,"ybcL","BSU_01890","NP_388070.1",390,"putative efflux transporter; prophage 1 region"
"chromosome","NC_000964.3",213155,213469,"-",938504,"ybcM","BSU_01900","NP_388071.1",104,"putative enzyme"
"chromosome","NC_000964.3",213941,214108,"-",938506,"skfA","BSU_01910","NP_388072.1",55,"sporulation killing factor A"
"chromosome","NC_000964.3",214175,215407,"-",938501,"skfB","BSU_01920","NP_388073.2",410,"synthesis of sporulation killing factor A"
"chromosome","NC_000964.3",215404,216894,"-",8302931,"skfC","BSU_01935","YP_003097671.1",496,"sporulation killing factor biosynthesis and export"
"chromosome","NC_000964.3",216913,217632,"-",938498,"skfE","BSU_01950","NP_388077.1",239,"sporulation killing factor biosynthesis and export; ABC transporter (binding protein)"
"chromosome","NC_000964.3",217697,219040,"-",938494,"skfF","BSU_01960","NP_388078.2",447,"sporulation killing factor biosynthesis and export; ABC transporter (permease)"
"chromosome","NC_000964.3",219087,219602,"-",938502,"skfG","BSU_01970","NP_388079.2",171,"sporulation killing factor biosynthesis and export"
"chromosome","NC_000964.3",219607,220032,"-",938499,"skfH","BSU_01980","NP_388080.2",141,"sibling killing effect; sporulation killing factor biosynthesis and export"
"chromosome","NC_000964.3",220279,221256,"-",938500,"ybdG","BSU_01990","NP_388081.2",325,"putative hydrolase/transferase"
"chromosome","NC_000964.3",221258,221929,"-",938485,"ybdJ","BSU_02000","NP_388082.1",223,"two-component system response regulator"
"chromosome","NC_000964.3",221950,222912,"-",938496,"ybdK","BSU_02010","NP_388083.1",320,"two-component system sensor histidine kinase"
